model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity
Q2.5-7B,global,0,0.9999999478459358,100.00000000000004,0.999999962747097,0.0,0.0,1.000091552734375
Q2.5-7B,global,1,0.9875967875123024,80.39520097301788,0.9729397371411324,-0.905029296875,-0.00380706787109375,0.998199462890625
Q2.5-7B,global,5,0.9528257772326469,71.00582705353094,0.9517079815268517,3.11376953125,0.003387451171875,0.9921875
Q2.5-7B,global,20,0.8846179619431496,62.94856499374364,0.9200330413877964,3.099609375,-0.00215911865234375,0.984405517578125
Q2.5-7B,global,50,0.8091877698898315,58.231284274298766,0.8804484866559505,5.888671875,-0.001495361328125,0.9749755859375
Q2.5-7B,global,100,0.7488364353775978,52.62011766790176,0.8377960212528706,6.494873046875,-0.00980377197265625,0.971588134765625
Q2.5-7B,prefix,0,0.9999999478459358,100.00000000000004,0.999999962747097,0.0,0.0,1.000091552734375
Q2.5-7B,prefix,1,0.9999999366700649,85.00000988561723,0.976221177726984,0.29443359375,0.0018768310546875,0.9989013671875
Q2.5-7B,prefix,5,0.9999999366700649,85.52997298117191,0.9709303975105286,3.01123046875,-9.1552734375e-05,0.9971923828125
Q2.5-7B,prefix,20,0.9999999366700649,81.91767898548882,0.9459491819143295,0.67578125,-0.0034027099609375,0.996673583984375
Q2.5-7B,prefix,50,0.9999999366700649,74.54103720838387,0.9052606746554375,1.383056640625,-0.00637054443359375,0.995208740234375
Q2.5-7B,prefix,100,0.9999999366700649,79.9093023295877,0.8791640587151051,1.084716796875,-0.00217437744140625,0.99639892578125
Q2.5-7B,suffix,0,0.9999999478459358,100.00000000000004,0.999999962747097,0.0,0.0,1.000091552734375
Q2.5-7B,suffix,1,0.9999999366700649,76.99546192485991,0.9690422154963017,-0.04541015625,-0.00054931640625,0.998931884765625
Q2.5-7B,suffix,5,0.9999999366700649,78.656162141332,0.9614046886563301,2.568603515625,-0.0011138916015625,0.997833251953125
Q2.5-7B,suffix,20,0.9999999366700649,74.50995070857701,0.9347989372909069,2.012939453125,0.0018310546875,0.99871826171875
Q2.5-7B,suffix,50,0.9999999366700649,76.96190084697201,0.8999722823500633,0.49853515625,-0.00238800048828125,0.998046875
Q2.5-7B,suffix,100,0.9999999366700649,75.54366894740275,0.8608215674757957,-0.31494140625,-0.00131988525390625,0.99725341796875
