model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate
Q2.5-1.5B,global,0,0.9999999874271452,100.00000000000004,0.9999999701976776,0.0,0.0,,1.0000038146972656,0.0
Q2.5-1.5B,global,10,0.9180319076403975,15.45688819153187,0.889651283621788,-2.05908203125,-0.00653076171875,,0.5011529847979546,0.0
Q2.5-1.5B,global,25,0.8480946002528071,14.502064344440075,0.8868333101272583,-2.94482421875,-0.0137786865234375,,0.4076330363750458,0.0
Q2.5-1.5B,global,50,0.8150511286221445,9.235205969778477,0.8765345960855484,-4.81884765625,-0.009979248046875,,0.3936510682106018,0.0
Q2.5-1.5B,global,75,0.8292571674101055,11.312685764530563,0.8824629634618759,-3.57373046875,-0.005645751953125,,0.4140589870512485,0.0
Q2.5-1.5B,global,100,0.9118255218490958,16.85468004861996,0.8949660807847977,-1.5830078125,0.008026123046875,,0.3699191957712173,0.0
Q2.5-1.5B,prefix,0,0.9999999874271452,100.00000000000004,0.9999999701976776,0.0,0.0,,1.0000038146972656,0.0
Q2.5-1.5B,prefix,10,0.9544708151370288,42.7173336151223,0.9329152554273604,-1.09521484375,-0.0003662109375,,0.56400266289711,0.0
Q2.5-1.5B,prefix,25,0.9138445095159112,12.930100396781503,0.8735913187265396,-1.47412109375,-0.0044403076171875,,0.4638180956244468,0.0
Q2.5-1.5B,prefix,50,0.8880656054243445,18.03490265793028,0.8905162364244461,-1.33642578125,-0.0065765380859375,,0.418147325515747,0.0
Q2.5-1.5B,prefix,75,0.8946822234429419,11.141507493133972,0.8865030258893967,-1.587890625,-0.0023651123046875,,0.4313737750053406,0.0
Q2.5-1.5B,prefix,100,0.943271037656814,17.263227880009225,0.9069088995456696,-0.76611328125,0.004974365234375,,0.4574626088142395,0.0
Q2.5-1.5B,suffix,0,0.9999999874271452,100.00000000000004,0.9999999701976776,0.0,0.0,,1.0000038146972656,0.0
Q2.5-1.5B,suffix,10,0.9559733509086072,29.893320556535368,0.9050192832946776,-1.08935546875,-5.340576171875e-05,,0.5217144787311554,0.0
Q2.5-1.5B,suffix,25,0.910054710227996,9.546623876772482,0.8727647513151169,-1.8818359375,-0.00885009765625,,0.4697328507900238,0.0
Q2.5-1.5B,suffix,50,0.8853385164402425,8.102329097221453,0.8732840418815613,-3.07568359375,-0.009552001953125,,0.4627381972968578,0.0
Q2.5-1.5B,suffix,75,0.8899919493123889,10.099185805791036,0.8721007257699966,-2.82958984375,-0.0062255859375,,0.4553136005997658,0.0
Q2.5-1.5B,suffix,100,0.9319832911714911,10.76757939405412,0.8804530054330826,-1.1591796875,0.00311279296875,,0.4906642436981201,0.0
