model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity,mirroring_rate_batch,mirroring_yes,mirroring_total,mirroring_rate
G4-E4B,global,-10,0.8773961821570992,3.7886130946565193,0.7998841134831309,-16.9267578125,0.36486053466796875,0.7052402496337891,0.0,0,128,0.0
G4-E4B,global,-8,0.8827787819318473,4.014570257173788,0.8010194888338447,-7.5205078125,0.28692626953125,0.7637386322021484,0.0,0,128,0.0
G4-E4B,global,-6,0.885994375217706,5.117109384424485,0.8029773458838463,-3.98046875,0.2542724609375,0.7737674713134766,0.0,0,128,0.0
G4-E4B,global,-4,0.9033267516642809,6.1585725589617635,0.8061711760237813,-2.736328125,0.2205352783203125,0.7859268188476562,0.0,0,128,0.0
G4-E4B,global,-2,0.9421983468346298,10.490617199394777,0.8109940513968468,7.9111328125,0.1088409423828125,0.7254238128662109,0.0,0,128,0.0
G4-E4B,global,0,1.0000000013969839,100.00000000000004,0.9999999925494194,0.0,0.0,1.0000457763671875,0.0,0,128,0.0
G4-E4B,global,2,0.9295243420638144,9.652647598272702,0.8094968372024596,1.63671875,-0.0305328369140625,0.8674373626708984,0.0,0,128,0.0
G4-E4B,global,4,0.9215914425440133,9.214929365971301,0.8089725305326283,-0.2421875,0.012115478515625,0.7417774200439453,0.007812499999999997,1,128,0.0078125
G4-E4B,global,6,0.8946203691884875,8.084054312269943,0.8045844743028283,-1.72021484375,0.0743560791015625,0.6848411560058594,0.0,0,128,0.0
G4-E4B,global,8,0.8924015974625945,8.01759016247672,0.8053553872741759,-4.47607421875,0.0995941162109375,0.6707534790039062,0.007812499999999997,1,128,0.0078125
G4-E4B,global,10,0.8804060602560639,6.7856626613034745,0.804593323264271,-2.697265625,0.116424560546875,0.5676517486572266,0.0,0,128,0.0
G4-E4B,prefix,-10,0.901684433221817,14.210457794843181,0.8100064410828054,-11.1728515625,0.29167938232421875,0.7684822082519531,0.0,0,128,0.0
G4-E4B,prefix,-8,0.9026169599965215,13.637819819835158,0.8093720260076225,0.0888671875,0.2014617919921875,0.7712440490722656,0.0,0,128,0.0
G4-E4B,prefix,-6,0.9030965496785939,13.439782202554785,0.8094197362661362,2.314453125,0.1633453369140625,0.7860527038574219,0.0,0,128,0.0
G4-E4B,prefix,-4,0.9258311693556607,13.957124392646088,0.8137550987303257,0.4091796875,0.16696929931640625,0.8119163513183594,0.0,0,128,0.0
G4-E4B,prefix,-2,0.9583447030745447,14.16062071043787,0.8133881036192179,8.505859375,0.08333587646484375,0.7413654327392578,0.0,0,128,0.0
G4-E4B,prefix,0,1.0000000013969839,100.00000000000004,0.9999999925494194,0.0,0.0,1.0000457763671875,0.0,0,128,0.0
G4-E4B,prefix,2,0.952051202300936,14.423827658053803,0.8147888970561326,3.2841796875,-0.0618896484375,0.9513587951660156,0.0,0,128,0.0
G4-E4B,prefix,4,0.9334751963615417,13.478756425420956,0.8123592897318304,3.05859375,-0.05893707275390625,0.7974338531494141,0.0,0,128,0.0
G4-E4B,prefix,6,0.90328683052212,14.021644629149709,0.8100509271025658,-1.09375,0.0246734619140625,0.736541748046875,0.007812499999999997,1,128,0.0078125
G4-E4B,prefix,8,0.9003635877743363,13.593674263659217,0.8101408365182579,-1.1025390625,0.02423858642578125,0.7109279632568359,0.0,0,128,0.0
G4-E4B,prefix,10,0.8923069117590785,12.475379686339577,0.8069664197973907,-1.9833984375,0.05022430419921875,0.6327877044677734,0.0,0,128,0.0
G4-E4B,suffix,-10,0.8974537984468043,4.491984752827826,0.8065164722502232,-3.4560546875,0.26111602783203125,0.8123817443847656,0.0,0,128,0.0
G4-E4B,suffix,-8,0.9054285194724798,4.95555076944851,0.8065366339869797,0.052734375,0.21106719970703125,0.8632392883300781,0.0,0,128,0.0
G4-E4B,suffix,-6,0.9080165941268206,5.429965877744631,0.8065168200992048,2.33203125,0.17691802978515625,0.8712844848632812,0.0,0,128,0.0
G4-E4B,suffix,-4,0.9225760479457676,7.466327188545346,0.8090882790274918,4.1318359375,0.11690521240234375,0.8874588012695312,0.0,0,128,0.0
G4-E4B,suffix,-2,0.9618965000845492,11.874440107092873,0.8129911730065942,4.49755859375,-0.04352569580078125,0.9434089660644531,0.0,0,128,0.0
G4-E4B,suffix,0,1.0000000013969839,100.00000000000004,0.9999999925494194,0.0,0.0,1.0000457763671875,0.0,0,128,0.0
G4-E4B,suffix,2,0.9655620795674622,11.546613617253982,0.8135378728620708,-3.1982421875,0.06951141357421875,0.9600448608398438,0.007812499999999997,1,128,0.0078125
G4-E4B,suffix,4,0.9356397311203182,7.947023011327557,0.8094468610361218,-5.0810546875,0.12102508544921875,0.8914108276367188,0.007812499999999997,1,128,0.0078125
G4-E4B,suffix,6,0.9103250438347459,5.055314646091146,0.8056658655405045,-3.923828125,0.136749267578125,0.8561439514160156,0.0,0,128,0.0
G4-E4B,suffix,8,0.9066156661137938,4.333737863512485,0.8047850620932877,-4.34375,0.14369964599609375,0.8577041625976562,0.0,0,128,0.0
G4-E4B,suffix,10,0.8949436321854591,4.0686229210035965,0.8038590182550251,-5.9345703125,0.15016937255859375,0.7987270355224609,0.007812499999999997,1,128,0.0078125
