model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity
Q3.5-9B,global,0,0.9999999832361937,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,global,1,0.9668101402930915,61.109950034988586,0.9480513138696551,-1.26708984375,0.007232666015625,0.973175048828125
Q3.5-9B,global,3,0.9335464481264353,45.88593889303966,0.9207305647432804,-1.337890625,0.0200653076171875,0.93768310546875
Q3.5-9B,global,5,0.9110726919025183,43.0558458729625,0.9128704522736371,-1.7890625,0.025543212890625,0.9122314453125
Q3.5-9B,global,10,0.8739933166652918,27.49855070755912,0.8826584862545133,-1.001953125,0.0316009521484375,0.878173828125
Q3.5-9B,global,20,0.8307991325855255,25.072921341123998,0.8747901157476008,0.5703125,0.0384521484375,0.84051513671875
Q3.5-9B,prefix,0,0.9999999832361937,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,prefix,1,0.9837778406217694,72.72388293630483,0.9653007234446704,-2.91650390625,0.0066070556640625,0.972625732421875
Q3.5-9B,prefix,3,0.96867835521698,54.52792071049053,0.9379438385367393,-4.103515625,0.0197296142578125,0.9410400390625
Q3.5-9B,prefix,5,0.957268298137933,47.3185253724115,0.9273117985576391,-3.439453125,0.024444580078125,0.92840576171875
Q3.5-9B,prefix,10,0.9333318211138248,38.18860380051282,0.9074316774494946,-1.5908203125,0.0289154052734375,0.90765380859375
Q3.5-9B,prefix,20,0.9011853560805321,29.134490605595545,0.8795607243664563,-0.1513671875,0.0268402099609375,0.89227294921875
Q3.5-9B,suffix,0,0.9999999832361937,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,suffix,1,0.9815765051171184,75.40678577627845,0.9689077502116561,-0.6669921875,0.0072784423828125,0.9766845703125
Q3.5-9B,suffix,3,0.9638825245201588,54.92953233498404,0.9366848166100681,0.5595703125,0.016387939453125,0.951751708984375
Q3.5-9B,suffix,5,0.9505557781085372,41.228077750939654,0.9136017858982086,1.4296875,0.0196685791015625,0.92950439453125
Q3.5-9B,suffix,10,0.9299567365087569,35.14161972628141,0.9017511340789497,2.5810546875,0.021331787109375,0.902435302734375
Q3.5-9B,suffix,20,0.9001210136339068,31.052194513304304,0.8913556351326406,3.9560546875,0.020233154296875,0.873748779296875
