model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity
Q3.5-9B,global,0,0.9999999832361937,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,global,1,0.974743461702019,83.36527610290149,0.978705357760191,0.119140625,0.001220703125,0.992828369140625
Q3.5-9B,global,5,0.9335818365216255,70.91914603173558,0.9594949493184686,-0.36962890625,0.0014190673828125,0.97686767578125
Q3.5-9B,global,20,0.8439063508994877,55.53572297897918,0.937595974188298,-2.2763671875,0.0034027099609375,0.94354248046875
Q3.5-9B,global,50,0.7576207616366446,47.69134009335043,0.9149639867246151,-1.74951171875,0.005645751953125,0.91387939453125
Q3.5-9B,global,100,0.7144397851079702,42.91551594044291,0.9020116380415857,-1.0361328125,0.0061798095703125,0.90185546875
Q3.5-9B,prefix,0,0.9999999832361937,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,prefix,1,0.9999999837018549,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,prefix,5,0.9999999837018549,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,prefix,20,0.9999999837018549,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,prefix,50,0.9999999837018549,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,prefix,100,0.9999999837018549,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,suffix,0,0.9999999832361937,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,suffix,1,0.9999999837018549,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,suffix,5,0.9999999837018549,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,suffix,20,0.9999999837018549,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,suffix,50,0.9999999837018549,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
Q3.5-9B,suffix,100,0.9999999837018549,100.00000000000004,0.9999999636784196,0.0,0.0,1.000732421875
