model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate_batch,mirroring_yes,mirroring_total,mirroring_rate
G-2B,global,0,0.9999999850988388,100.00000000000004,0.9999999701976776,0.0,0.0,,0.9999847412109376,0.0,0,128,0.0
G-2B,global,10,0.9151589372195305,27.15689502799071,0.8938387483358383,-7.4247589111328125,-0.0117568969726562,,0.696061372756958,0.0,0,128,0.25
G-2B,global,25,0.8508889372460544,4.545669274068692,0.8507410883903503,-12.239242553710938,-0.0324478149414062,,0.6093679666519165,0.0,0,128,0.0
G-2B,global,50,0.8146103033795953,7.363489470418499,0.8668901771306992,-16.712875366210938,-0.0638885498046875,,0.5599437654018402,0.0,0,128,0.0
G-2B,global,75,0.8309640903025866,22.60052537580728,0.8993955701589584,-15.945297241210938,-0.0536212921142578,,0.5705242156982422,0.0,0,128,0.0
G-2B,global,100,0.9118255316279829,32.29306373969262,0.9198535829782486,-6.173995971679688,-0.0093250274658203,,0.6499741971492767,0.0,0,128,0.0
G-2B,prefix,0,0.9999999850988388,100.00000000000004,0.9999999701976776,0.0,0.0,,0.9999847412109376,0.0,0,128,0.0
G-2B,prefix,10,0.9578367248177528,98.16761509533336,0.9957366436719894,-2.7360992431640625,0.0017175674438476,,0.7706074714660645,0.0,0,128,0.0
G-2B,prefix,25,0.9117046045139432,37.60805695829645,0.9219684898853302,-6.2488861083984375,-0.0170650482177734,,0.7114872932434082,0.0,0,128,0.0
G-2B,prefix,50,0.8885731198824942,27.013470251326574,0.920117437839508,-9.044540405273438,-0.0173377990722656,,0.6601512432098389,0.0,0,128,0.0
G-2B,prefix,75,0.891460342798382,15.216247614432769,0.8851101100444794,-8.355880737304688,-0.0166816711425781,,0.6788866221904755,0.0,0,128,0.0
G-2B,prefix,100,0.9432710423134268,47.83152558136892,0.9454147070646286,-3.706466674804688,0.0036287307739257,,0.7449018955230713,0.0,0,128,0.0
G-2B,suffix,0,0.9999999850988388,100.00000000000004,0.9999999701976776,0.0,0.0,,0.9999847412109376,0.0,0,128,0.0
G-2B,suffix,10,0.9540577651932836,62.38567946423134,0.9608742296695708,-3.5242919921875,-0.0017900466918945,,0.7544946670532227,0.0,0,128,0.0
G-2B,suffix,25,0.9100335338152944,24.46671310576929,0.8952215164899826,-6.7014007568359375,-0.0104169845581054,,0.6784475743770599,0.0,0,128,0.0
G-2B,suffix,50,0.8850221424363554,32.4336040770607,0.9061716198921204,-10.351486206054688,-0.0297231674194335,,0.6632235050201416,0.0,0,128,0.0
G-2B,suffix,75,0.8886576998047531,36.66378748766072,0.9253547191619872,-10.082443237304688,-0.024703025817871,,0.6526996493339539,0.0,0,128,0.0
G-2B,suffix,100,0.9319832916371524,46.69055347117015,0.9368387758731842,-5.786666870117188,-0.0101537704467773,,0.7056741714477539,0.0,0,128,0.0
