model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity
Q2.5-7B,global,0,0.9999999930150807,100.00000000000004,0.9999999403953552,0.0,0.0,,0.9999885559082031
Q2.5-7B,global,10,0.916867196559906,32.29539207025751,0.9185992777347565,-1.928466796875,-0.024385452270507812,,0.6043858304619789
Q2.5-7B,global,25,0.8534334790892899,22.159327406313174,0.9003851115703583,-3.9256591796875,-0.031772613525390625,,0.5570770353078842
Q2.5-7B,global,50,0.811727155931294,12.683612484303946,0.8699142932891846,-3.7957763671875,-0.03475189208984375,,0.49399594217538834
Q2.5-7B,global,75,0.832305942196399,17.466934429927402,0.8822768330574036,-3.4620361328125,-0.03294563293457031,,0.5207664370536804
Q2.5-7B,global,100,0.911825523711741,32.20319602072347,0.9055052995681763,-1.142333984375,-0.01711273193359375,,0.5472851395606995
Q2.5-7B,prefix,0,0.9999999930150807,100.00000000000004,0.9999999403953552,0.0,0.0,,0.9999885559082031
Q2.5-7B,prefix,10,0.9556103721261024,26.173417781985513,0.8979041576385498,-1.2041015625,-0.017461776733398438,,0.6620194911956787
Q2.5-7B,prefix,25,0.9163382272236049,24.739156751627323,0.9036265015602112,-1.3414306640625,-0.023412704467773438,,0.6071540117263794
Q2.5-7B,prefix,50,0.8838276504538953,27.45727609191621,0.8961429595947266,-1.4161376953125,-0.026519775390625,,0.5610747593455017
Q2.5-7B,prefix,75,0.8944468116387725,27.063019794563218,0.9025161862373352,-1.2015380859375,-0.024328231811523438,,0.5562916472554207
Q2.5-7B,prefix,100,0.9432710376568139,30.272398782898684,0.9060037434101105,0.7607421875,-0.021341323852539062,,0.6177484691143036
Q2.5-7B,suffix,0,0.9999999930150807,100.00000000000004,0.9999999403953552,0.0,0.0,,0.9999885559082031
Q2.5-7B,suffix,10,0.9543922725133598,17.386325298701266,0.8773474991321564,-1.856689453125,-0.019289016723632812,,0.7083078697323799
Q2.5-7B,suffix,25,0.9118225499987602,27.932058750916845,0.8991450369358063,-2.25537109375,-0.025064468383789062,,0.5379570983350277
Q2.5-7B,suffix,50,0.8852638495154679,28.79829791652656,0.9027358591556549,-3.38134765625,-0.028141021728515625,,0.5606374889612198
Q2.5-7B,suffix,75,0.8885149941779673,38.05752498806729,0.9231260716915131,-3.0301513671875,-0.030059814453125,,0.5550795421004295
Q2.5-7B,suffix,100,0.9319832883775234,50.82286783118924,0.9318269193172455,-1.5032958984375,-0.020414352416992188,,0.6059182435274124
