model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity,mirroring_rate_batch,mirroring_yes,mirroring_total,mirroring_rate
G-2B,global,-10,0.8727142475545406,2.594833178290839,0.8299871571362019,22.8248291015625,-0.03575897216796875,0.589447021484375,0.0,0,16,0.0
G-2B,global,-8,0.8770148977637291,10.74078116642653,0.8568482883274555,12.3048095703125,-0.0046844482421875,0.7923583984375,0.0,0,16,0.0
G-2B,global,-6,0.8813163489103317,19.31956132140301,0.8709594719111919,8.6282958984375,0.00274658203125,0.845703125,0.0,0,16,0.0
G-2B,global,-4,0.8962038122117519,27.358675814008446,0.8830135948956013,5.3966064453125,-0.0062713623046875,0.918792724609375,0.0,0,16,0.0
G-2B,global,-2,0.9293399080634117,47.054161325885524,0.9208545759320259,-0.8255615234375,-0.0074920654296875,0.927581787109375,0.0,0,16,0.0
G-2B,global,0,1.0000000186264515,100.00000000000004,0.9999999888241291,0.0,0.0,1.00030517578125,0.0,0,16,0.0
G-2B,global,2,0.9345821030437946,48.55472009421027,0.9181099273264408,5.9462890625,-0.00308990478515625,0.9307861328125,0.0,0,16,0.0
G-2B,global,4,0.9192844443023205,37.19105856006908,0.9018946923315525,13.7628173828125,-0.01233673095703125,0.8975830078125,0.0,0,16,0.0
G-2B,global,6,0.8902142643928528,26.054008090345704,0.8841901272535324,9.7484130859375,-0.00452423095703125,0.885498046875,0.0,0,16,0.0
G-2B,global,8,0.8877201080322266,25.496189472481134,0.888141468167305,16.8875732421875,-0.0129241943359375,0.82080078125,0.0,0,16,0.0
G-2B,global,10,0.875556081533432,18.034346785464006,0.8721053302288055,10.8992919921875,0.01137542724609375,0.7972412109375,0.0,0,16,0.0
G-2B,prefix,-10,0.8961075283586979,37.120552326319626,0.9058389030396938,11.5699462890625,-0.00893402099609375,0.818145751953125,0.0,0,16,0.0
G-2B,prefix,-8,0.8992672450840473,43.757447424458256,0.914394311606884,7.2552490234375,-0.000274658203125,0.860870361328125,0.0,0,16,0.0
G-2B,prefix,-6,0.9036298766732216,51.03299874535897,0.9235999472439289,4.9266357421875,0.00260162353515625,0.890472412109375,0.0,0,16,0.0
G-2B,prefix,-4,0.9185247793793678,48.622617888169735,0.923844937235117,4.8048095703125,-0.01340484619140625,0.931365966796875,0.0,0,16,0.0
G-2B,prefix,-2,0.9421787559986115,62.550281730899705,0.9482415951788425,3.0443115234375,-0.0202789306640625,0.94866943359375,0.0,0,16,0.0
G-2B,prefix,0,1.0000000186264515,100.00000000000004,0.9999999888241291,0.0,0.0,1.00030517578125,0.0,0,16,0.0
G-2B,prefix,2,0.9528399743139744,74.83455461161651,0.9619901813566685,2.18798828125,-0.0129547119140625,0.978668212890625,0.0,0,16,0.0
G-2B,prefix,4,0.9302996322512627,58.284105608978216,0.9409497156739235,9.3509521484375,-0.00586700439453125,0.93157958984375,0.0,0,16,0.0
G-2B,prefix,6,0.897728219628334,55.58184572981061,0.9360584765672684,9.3992919921875,-0.009735107421875,0.9180908203125,0.0,0,16,0.0
G-2B,prefix,8,0.894635982811451,48.2295059172825,0.9267689809203148,11.0196533203125,-0.00634002685546875,0.889923095703125,0.0,0,16,0.0
G-2B,prefix,10,0.8874433562159538,37.93569476931283,0.9119559526443481,6.7274169921875,0.00965118408203125,0.87139892578125,0.0,0,16,0.0
G-2B,suffix,-10,0.903823010623455,4.925416101177492,0.835754994302988,20.2254638671875,-0.0267791748046875,0.70556640625,0.0,0,16,0.0
G-2B,suffix,-8,0.9108728244900703,26.215880740278863,0.8898924514651299,10.4981689453125,-0.01129150390625,0.9119873046875,0.0,0,16,0.0
G-2B,suffix,-6,0.9148829728364944,27.217817539568262,0.8884353339672089,9.5758056640625,-0.00820159912109375,0.917388916015625,0.0,0,16,0.0
G-2B,suffix,-4,0.9306516759097576,39.43790598149472,0.9036106914281845,2.753173828125,0.01509857177734375,0.963958740234375,0.0,0,16,0.0
G-2B,suffix,-2,0.9683195240795612,65.06485352213826,0.9514279030263424,1.1363525390625,0.0020904541015625,0.973968505859375,0.0,0,16,0.0
G-2B,suffix,0,1.0000000186264515,100.00000000000004,0.9999999888241291,0.0,0.0,1.00030517578125,0.0,0,16,0.0
G-2B,suffix,2,0.9738484770059586,53.295193216995926,0.92707584425807,4.931396484375,-0.00014495849609375,0.9739990234375,0.0,0,16,0.0
G-2B,suffix,4,0.9438649192452431,32.526017334812174,0.8870372548699379,14.43603515625,-0.01538848876953125,0.910430908203125,0.0,0,16,0.0
G-2B,suffix,6,0.9148787222802639,29.447579687157177,0.8840869218111038,10.9088134765625,-0.00630950927734375,0.913970947265625,0.0,0,16,0.0
G-2B,suffix,8,0.9108719266951084,26.08865176942915,0.8792526833713055,12.8291015625,-0.01104736328125,0.89324951171875,0.0,0,16,0.0
G-2B,suffix,10,0.8994657099246979,26.21852775755337,0.8785409666597843,16.0328369140625,-0.02166748046875,0.843994140625,0.0,0,16,0.0
