model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity
G4-E4B,global,0,0.9999999832361937,100.00000000000004,0.9999999804422259,0.0,0.0,1.0000457763671875
G4-E4B,global,10,0.9069200893864036,5.106331019857874,0.8076269263401628,-1.4296875,-0.0251312255859375,0.9222602844238281
G4-E4B,global,25,0.8518632212653756,4.697933838627371,0.8038833802565932,-3.03125,0.00091552734375,0.8650054931640625
G4-E4B,global,50,0.8243747376836836,4.595095101564697,0.8058886714279652,-3.86328125,0.02313232421875,0.8473472595214844
G4-E4B,global,75,0.8330748770385981,4.524580728218353,0.8034466132521629,-1.60546875,-0.008514404296875,0.8645095825195312
G4-E4B,global,100,0.9294691341929138,4.550173253853027,0.8076783656142652,6.015625,-0.0916595458984375,0.9441032409667969
G4-E4B,prefix,0,0.9999999832361937,100.00000000000004,0.9999999804422259,0.0,0.0,1.0000457763671875
G4-E4B,prefix,10,0.9495568573474884,7.532484562783634,0.810689577832818,0.6484375,-0.0356903076171875,0.9517631530761719
G4-E4B,prefix,25,0.9081733245402575,6.521922968419234,0.8074241010472178,-1.37890625,-0.0182952880859375,0.9319076538085938
G4-E4B,prefix,50,0.8824215875938535,8.064256520116372,0.8069733353331685,-0.203125,-0.0147705078125,0.9167556762695312
G4-E4B,prefix,75,0.8876202628016472,6.417608448188403,0.8044534032233059,0.08203125,-0.033477783203125,0.9167366027832031
G4-E4B,prefix,100,0.9462594292126596,6.292051227393342,0.8070992459543049,4.1328125,-0.0723114013671875,0.95941162109375
G4-E4B,suffix,0,0.9999999832361937,100.00000000000004,0.9999999804422259,0.0,0.0,1.0000457763671875
G4-E4B,suffix,10,0.9452393194660544,6.631766043312483,0.8117737928405404,-0.578125,-0.0377349853515625,0.9586105346679688
G4-E4B,suffix,25,0.9021770334802568,4.746513726242806,0.8099877256900072,-1.484375,-0.0124664306640625,0.90313720703125
G4-E4B,suffix,50,0.876531810965389,5.050584414473766,0.805801160633564,-3.37109375,0.00714111328125,0.8703708648681641
G4-E4B,suffix,75,0.8819168857298791,4.502153093141491,0.8096159603446722,-1.95703125,-0.003082275390625,0.8945484161376953
G4-E4B,suffix,100,0.9356171949766576,5.270403563236513,0.8109962646849453,2.33984375,-0.0466156005859375,0.9359169006347656
